21:40:26.415 INFO: JdwpDebugServer: handling req: VirtualMachine(1).IDSizes(7)
21:40:26.416 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:40:26.416 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=100, eventKind=CLASS_PREPARE, suspendPolicy=NONE, predicates=[]}
21:40:26.416 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:40:26.416 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=101, eventKind=CLASS_UNLOAD, suspendPolicy=NONE, predicates=[]}
21:40:26.433 INFO: JdwpDebugServer: handling req: VirtualMachine(1).Version(1)
21:40:26.434 INFO: JdwpDebugServer: handling req: VirtualMachine(1).capabilitiesNew(17)
21:40:26.434 INFO: JdwpDebugServer: handling req: VirtualMachine(1).capabilities(12)
21:40:26.435 INFO: JdwpDebugServer: handling req: VirtualMachine(1).AllClassesWithGeneric(20)
21:40:26.438 INFO: JdwpDebugServer: handling req: VirtualMachine(1).TopLevelThreadGroups(5)
21:40:26.439 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:40:26.439 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=102, eventKind=THREAD_START, suspendPolicy=NONE, predicates=[]}
21:40:26.439 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:40:26.439 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=103, eventKind=THREAD_DEATH, suspendPolicy=NONE, predicates=[]}
21:40:26.441 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:40:26.441 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=104, eventKind=CLASS_PREPARE, suspendPolicy=EVENT_THREAD, predicates=[className=sun.instrument.InstrumentationImpl]}
21:40:26.441 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:40:26.441 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=105, eventKind=CLASS_PREPARE, suspendPolicy=EVENT_THREAD, predicates=[className=sun.instrument.InstrumentationImpl]}
21:40:26.443 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:40:26.443 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=106, eventKind=CLASS_PREPARE, suspendPolicy=EVENT_THREAD, predicates=[className=com.twobsoft.babymozartspacetrip.models.SunModel]}
21:40:26.443 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:40:26.443 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=107, eventKind=CLASS_PREPARE, suspendPolicy=EVENT_THREAD, predicates=[className=com.twobsoft.babymozartspacetrip.models.SunModel$*]}
21:40:26.443 INFO: JdwpDebugServer: handling req: EventRequest(15).Set(1)
21:40:26.443 INFO: JdwpEventCenterDelegate: jdwpSetEventRequest: JdwpEventRequest{requestId=108, eventKind=CLASS_PREPARE, suspendPolicy=EVENT_THREAD, predicates=[className=com.twobsoft.babymozartspacetrip.models.ComposableSingletons$SunModelKt$*]}
21:40:26.824 INFO: JdwpDebugServer: handling req: VirtualMachine(1).Resume(9)
21:40:26.869 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (33, main, main)
21:40:26.880 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (48, ReferenceQueueDaemon, main)
21:40:26.887 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (63, FinalizerDaemon, main)
21:40:26.894 INFO: JdwpEventCenterDelegate: THREAD_STARTED: thread (78, FinalizerWatchdogDaemon, main)
21:40:26.898 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.899 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.901 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.903 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.904 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.906 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.907 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.908 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.909 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.910 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.911 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.912 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.913 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.914 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.916 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.917 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.918 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.919 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.922 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.923 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.924 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.926 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.927 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.928 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.929 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.954 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.955 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.957 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.958 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.960 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.961 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.963 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.966 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.967 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.969 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.970 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.972 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.974 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.975 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.990 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.992 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.994 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.996 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.997 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:26.999 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.001 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.022 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.023 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.024 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.025 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.027 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.028 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.030 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.057 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.058 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.060 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.061 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.063 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.064 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.066 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.074 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.076 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.077 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.079 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.081 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.081 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.083 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.092 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
21:40:27.094 INFO: JdwpEventCenterDelegate: THREAD_RESUMED: thread (33, main, main)
